的	de/di2/di4	(possessive particle)/of, really and truly, aim/clear	[Add example]
一	yi1	one/1/single/a(n)	[Add example]
是	shi4	is/are/am/yes/to be	[Add example]
不	bu4/bu2	(negative prefix)/not/no	[Add example]
了	le/liao3/liao4	(modal particle intensifying preceding clause)/(completed action marker), to know/to understand/to know, clear, look afar from a high place	[Add example]
在	zai4	(located) at/in/exist	[Add example]
人	ren2	man/person/people	[Add example]
有	you3	to have/there is/there are/to exist/to be	[Add example]
我	wo3	I/me/myself	[Add example]
他	ta1	he/him	[Add example]
这	zhe4/zhei4	this/these, this/these/(sometimes used before a measure word, especially in Beijing)	[Add example]
个	ge4	(a measure word)/individual	[Add example]
们	men	(plural marker for pronouns and a few animate nouns)	[Add example]
中	zhong1/zhong4	within/among/in/middle/center/while (doing sth)/during/China/Chinese, hit (the mark)	[Add example]
来	lai2	to come	[Add example]
上	shang4	on/on top/upon/first (of two parts)/previous or last (week, etc.)/upper/higher/above/previous/to climb/to go into/above/to go up	[Add example]
大	da4/dai4	big/huge/large/major/great/wide/deep/oldest/eldest, doctor	[Add example]
为	wei2/wei4	act as/take...to be/to be/to do/to serve as/to become, because of/for/to	[Add example]
和	he2/he4/huo2/huo4	and/together with/with/peace/harmony/union, cap (a poem)/respond in singing, soft/warm, mix together/to blend	[Add example]
国	guo2	country/state/nation	[Add example]
地	de/di4	(subor. part. adverbial)/-ly, earth/ground/field/place/land	[Add example]
到	dao4	to (a place)/until (a time)/up to/to go/to arrive	[Add example]
以	yi3	to use/according to/so as to/in order to/by/with/because/Israel (abbrev.)	[Add example]
说	shui4/shuo1	persuade (politically), to speak/to say	[Add example]
时	shi2	o'clock/time/when/hour/season/period	[Add example]
要	yao1/yao4	demand/ask/request/coerce, important/vital/to want/to be going to/must	[Add example]
就	jiu4	at once/then/right away/only/(emphasis)/to approach/to move towards/to undertake	[Add example]
出	chu1	to go out/to come out/to occur/to produce/to go beyond/to rise/to put forth/to occur/to happen/(a measure word for dramas, plays, or operas)	[Add example]
会	hui4/kuai4	can/be possible/be able to/to assemble/to meet/to gather/to see/union/group/association, to balance an account/accounting	[Add example]
可	ke3	can/may/able to/certain(ly)/to suit/(particle used for emphasis)	[Add example]
也	ye3	also/too	[Add example]
你	ni3	you	[Add example]
对	dui4	couple/pair/to be opposite/to oppose/to face/for/to/correct (answer)/to answer/to reply/to direct (towards sth)/right	[Add example]
生	sheng1	to be born/to give birth/life/to grow	[Add example]
能	neng2	can/may/capable/energy/able	[Add example]
而	er2	and/as well as/but (not)/yet (not)/(shows causal relation)/(shows change of state)/(shows contrast)	[Add example]
子	zi3/zi	11 p.m.-1 a.m./1st earthly branch/child/midnight/son/child/seed/egg/small thing, (noun suff.)	[Add example]
那	na3/na4/nei4	how/which, that/those, that/those/(sometimes used before a measure word, especially in Beijing)	[Add example]
得	de2/de/dei3	obtain/get/gain/proper/suitable/proud/contented/allow/permit/ready/finished, a sentence particle used after a verb to show effect/degree or possibility, to have to/must/ought to/to need to	[Add example]
于	yu2	(surname), in/at/to/from/by/than/out of	[Add example]
着	zhao1/zhao2/zhe/zhu4/zhuo2	catch/receive/suffer, part. indicates the successful result of a verb/to touch/to come in contact with/to feel/to be affected by/to catch fire/to fall asleep/to burn, -ing part. (indicates an action in progress)/part. coverb-forming after some verbs, to make known/to show/to prove/to write/book/outstanding, to wear (clothes)/to contact/to use/to apply	[Add example]
下	xia4	under/second (of two parts)/next (week, etc.)/lower/below/underneath/down(wards)/to decline/to go down/latter	[Add example]
自	zi4	from/self/oneself/since	[Add example]
之	zhi1	(literary equivalent of 的)/(subor. part.)/him/her/it	[Add example]
年	nian2	year	[Add example]
过	guo4	(experienced action marker)/to cross/to go over/to pass (time)/to celebrate (a holiday)/to live/to get along/(surname)/excessively/too-	[Add example]
发	fa1/fa4	to send out/to show (one's feeling)/to issue/to develop, hair	[Add example]
后	hou4	empress/queen/surname, back/behind/rear/afterwards/after/later	[Add example]
作	zuo4	to regard as/to take (somebody) for/to do/to make	[Add example]
里	li3	inside/internal/interior, village/within/inside, Chinese mile/neighborhood/li, a Chinese unit of length = one-half kilometer/hometown	[Add example]
用	yong4	to use	[Add example]
道	dao4	direction/way/method/road/path/principle/truth/reason/skill/method/Tao (of Taoism)/a measure word/to say/to speak/to talk	[Add example]
行	hang2/xing2/xing4	a row/profession/professional, all right/capable/competent/OK/okay/to go/to do/to travel/temporary/to walk/to go/will do, behavior/conduct	[Add example]
所	suo3	actually/place	[Add example]
然	ran2	correct/right/so/thus/like this/-ly	[Add example]
家	jia1	furniture/tool, -ist/-er/-ian/home/family/a person engaged in a certain art or profession	[Add example]
种	zhong3/zhong4	kind/type/race/breed/seed/species (taxonomy), to plant/to cultivate	[Add example]
事	shi4	matter/thing/item/work/affair	[Add example]
成	cheng2/cheng4	finish/complete/accomplish/become/turn into/win/succeed/one tenth, finish/complete/accomplish/become/turn into/win/succeed/one tenth	[Add example]
方	fang1	square/quadrilateral/direction/just	[Add example]
多	duo1	many/much/a lot of/numerous/multi-	[Add example]
经	jing1	classics/sacred book/pass through/to undergo/scripture	[Add example]
么	ma/me/yao1	(interrog. part.), (interrog. suff.), one on dice/small	[Add example]
去	qu4	to go/to leave/to remove	[Add example]
法	fa3	law/method/way/Buddhist teaching/Legalist/France (abbrev.)	[Add example]
学	xue2	learn/study/science/-ology	[Add example]
如	ru2	as (if)/such as	[Add example]
都	dou1/du1	all/both (if two things are involved)/entirely (due to)each/even/already, (surname)/metropolis/capital city	[Add example]
同	tong2	like/same/similar/together/alike/with	[Add example]
现	xian4	appear/present/now/existing/current	[Add example]
当	dang1/dang4	to be/to act as/manage/withstand/when/during/ought/should/match equally/equal/same/obstruct/just at (a time or place)/on the spot/right/just at, at or in the very same.../to pawn/suitable/adequate/fitting/proper/replace/represent	[Add example]
没	mei2/mo4	(negative prefix for verbs)/have not/not, drowned/to end/to die/to inundate	[Add example]
动	dong4	to use/to act/to move/to change	[Add example]
面	mian4	fade/side/surface/aspect/top/face/flour/noodles, flour/noodles	[Add example]
起	qi3	to rise/to raise/to get up	[Add example]
看	kan1/kan4	to look after/to take care of/to watch/to guard, it depends/think/to see/to look at	[Add example]
定	ding4	to set/to fix/to determine/to decide/to order	[Add example]
天	tian1	day/sky/heaven	[Add example]
分	fen1/fen4	to divide/minute/(a measure word)/(a unit of length = 0.33 centimeter), part	[Add example]
还	hai2/huan2/huan4	also/in addition/more/still/else/still/yet/(not) yet, (surname)/pay back/return	[Add example]
进	jin4	advance/enter/to come in	[Add example]
好	hao3/hao4	good/well, be fond of	[Add example]
小	xiao3	small/tiny/few/young	[Add example]
部	bu4	ministry/department/section/part/division/troops/board/(a measure word)/(a measure word for works of literature, films, machines, etc.)	[Add example]
其	qi2	his/her/its/theirs/that/such/it (refers to sth preceding it)	[Add example]
些	xie1	some/few/several/(a measure word)	[Add example]
主	zhu3	to own/to host/master/lord/primary	[Add example]
样	yang4	manner/pattern/way/appearance/shape	[Add example]
理	li3	reason/logic/science/inner principle or structure	[Add example]
心	xin1	heart/mind	[Add example]
她	ta1	she	[Add example]
本	ben3	roots or stems of plants/origin/source/this/the current/root/foundation/basis/(a measure word)	[Add example]
前	qian2	before/in front/ago/former/previous/earlier/front	[Add example]
开	kai1	open/operate (vehicle)/start	[Add example]
但	dan4	but/yet/however/only/merely/still	[Add example]
因	yin1	cause/reason/because	[Add example]
只	qi2/zhi1/zhi3	earth-spirit/peace, (a measure word, for birds and some animals, etc.)/single/only, M for one of a pair, only/merely/just/but, but/only	[Add example]
从	cong1/cong2/zong4	lax/yielding/unhurried, from/obey/observe/follow, second cousin	[Add example]
想	xiang3	to think/to believe/to suppose/to wish/to want/to miss	[Add example]
实	shi2	real/true/honest/really/solid	[Add example]
日	ri4	Japan/day/sun/date/day of the month	[Add example]
军	jun1	army/military/arms	[Add example]
者	zhe3	-ist, -er (person)/person (who does sth)	[Add example]
意	yi4	idea/meaning/wish/desire/(abbr.) Italy	[Add example]
无	wu2	-less/not to have/no/none/not/to lack/un-	[Add example]
力	li4	power/force/strength	[Add example]
它	ta1	it	[Add example]
与	yu2/yu3/yu4	(interrog. part.), and/to give/together with, take part in	[Add example]
长	chang2/zhang3	length/long/forever/always/constantly, chief/head/elder/to grow/to develop	[Add example]
把	ba3/ba4	(a measure word)/(marker for direct-object)/to hold/to contain/to grasp/to take hold of, handle	[Add example]
机	ji1	machine/opportunity/secret	[Add example]
十	shi2	ten/10	[Add example]
民	min2	the people/nationality/citizen	[Add example]
第	di4	(prefix before a number, for ordering numbers, e.g. "first", "number two", etc)	[Add example]
公	gong1	just/honorable (designation)/public/common	[Add example]
此	ci3	this/these	[Add example]
已	yi3	already/to stop/then/afterwards	[Add example]
工	gong1	work/worker/skill/profession/trade/craft/labor	[Add example]
使	shi3	to make/to cause/to enable/to use/to employ/messenger	[Add example]
情	qing2	feeling/emotion/passion/situation	[Add example]
明	ming2	clear/bright/to understand/next/the Ming dynasty	[Add example]
性	xing4	sex/nature/surname/suffix corresponding to -ness or -ity	[Add example]
知	zhi1	to know/to be aware	[Add example]
全	quan2	all/whole/entire/every/complete	[Add example]
三	san1	three/3	[Add example]
又	you4	(once) again/also/both... and.../again	[Add example]
关	guan1	(surname)/mountain pass/to close/to shut/to turn off/to concern/to involve	[Add example]
点	dian3	(downwards-right convex character stroke)/o'clock/(a measure word)/point/dot/(decimal) point)	[Add example]
正	zheng1/zheng4	Chinese 1st month of year, just (right)/main/upright/straight/correct/principle	[Add example]
业	ye4	business/occupation/study	[Add example]
外	wai4	outside/in addition/foreign/external	[Add example]
将	jiang1/jiang4	(will, shall, "future tense")/ready/prepared/to get/to use, a general	[Add example]
两	liang3	both/two/ounce/some/a few/tael	[Add example]
高	gao1	high/tall	[Add example]
间	jian1/jian4	between/among/space/(measure word), interstice/separate	[Add example]
由	you2	follow/from/it is for...to/reason/cause/because of/due to/by/to/to leave it (to sb)	[Add example]
问	wen4	to ask	[Add example]
很	hen3	very/extremely	[Add example]
最	zui4	(the) most/-est	[Add example]
重	chong2/zhong4	to double/to repeat/repetition/iteration/again/a layer, heavy/serious	[Add example]
并	bing4	and/furthermore/(not) at all/simultaneously/also/together with/to combine/to join/to merge, amalgamate/combine, and/also/together with	[Add example]
物	wu4	thing/object/matter	[Add example]
手	shou3	hand/convenient	[Add example]
应	ying1/ying4	ought, (surname)/to answer/to respond	[Add example]
战	zhan4	to fight/fight/war/battle	[Add example]
向	xiang4	direction/part/side/towards/to/guide/opposite to, guide/opposite to	[Add example]
头	tou2/tou	head, suff. for nouns	[Add example]
文	wen2	language/culture/writing/formal/literary	[Add example]
体	ti3	body/form/style/system	[Add example]
政	zheng4	political/politics/government	[Add example]
美	mei3	America/beautiful	[Add example]
相	xiang1/xiang4	each other/one another/mutually, appearance/portrait/picture	[Add example]
见	jian4/xian4	to see/to meet/to appear (to be sth)/to interview, appear	[Add example]
被	bei4	by (marker for passive-voice sentences or clauses)/quilt/blanket/to cover/to wear	[Add example]
利	li4	advantage/benefit/profit/sharp	[Add example]
什	shen2/shi2	what, tenth (used in fractions)	[Add example]
二	er4	two/2	[Add example]
等	deng3	class/rank/grade/equal to/same as/wait for/await/et cetera/and so on	[Add example]
产	chan3	to reproduce/to produce/give birth/products/produce/resources/estate/property	[Add example]
或	huo4	maybe/perhaps/might/possibly/or	[Add example]
新	xin1	meso- (chem.)/new/newly	[Add example]
己	ji3	6th heavenly stem/self	[Add example]
制	zhi4	system/to make/to manufacture/to control/to regulate, manufacture	[Add example]
身	shen1	body/torso/person/life/status/pregnancy/(a measure word used for clothes) suit	[Add example]
果	guo3	fruit/result	[Add example]
加	jia1	to add/plus	[Add example]
西	xi1	west	[Add example]
斯	si1	(phonetic)/this	[Add example]
月	yue4	moon/month	[Add example]
话	hua4	dialect/language/spoken words/speech/talk/words/conversation/what someone said	[Add example]
合	ge3/he2	one-tenth of a peck, Chinese musical note/fit/to join	[Add example]
回	hui2	(a measure word for matters or actions) a time/to circle/to go back/to turn around/to answer/to return/to revolve/Islam	[Add example]
特	te2/te4	special/unusual/extraordinary, male animal/special (-ly)	[Add example]
代	dai4	substitute/replace/generation/dynasty/geological era/era/age/period	[Add example]
内	nei4	inside/inner/internal/within/interior	[Add example]
信	xin4	letter/true/to believe/sign/evidence	[Add example]
表	biao3	surface/exterior/to watch/to show/express/an example/a list or table/a meter/a watch/chart/external	[Add example]
化	hua4	to make into/to change into/-ization/to ... -ize/to transform	[Add example]
老	lao3	(a prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family to indicate affection or familiarity)/old (of people)	[Add example]
给	gei3/ji3	to/for/for the benefit of/to give/to allow/to do sth (for sb)/(passive particle), to supply/provide	[Add example]
世	shi4	life/age/generation/era/world/lifetime	[Add example]
位	wei4	position/location/(measure word for persons)/place/seat	[Add example]
次	ci4	nth/number (of times)/order/sequence/next/second(ary)/(measure word)	[Add example]
度	du4	capacity/degree/standard	[Add example]
门	men2	opening/door/gate/doorway/gateway/valve/switch/way to do something/knack/family/house/(religious) sect/school (of thought)/class/category/phylum or division (taxonomy)	[Add example]
任	ren4	to assign/to appoint/office/responsibility	[Add example]
常	chang2	always/ever/often/frequently/common/general/constant	[Add example]
先	xian1	early/prior/former/in advance/first	[Add example]
海	hai3	ocean/sea	[Add example]
通	tong1	go through/know well/to connect/to communicate/open	[Add example]
教	jiao1/jiao4	teach, religion/teaching	[Add example]
儿	er2/er	son, non-syllabic dimi. suff.	[Add example]
原	yuan2	former/original/primary/raw/level/cause/source	[Add example]
东	dong1	east	[Add example]
声	sheng1	sound/voice/(a measure word, used for sounds)/tone/noise	[Add example]
提	di1/ti2	carry (suspended), to carry/to lift/to put forward/(upwards character stroke)/lifting (brush stroke in painting)/to mention	[Add example]
立	li4	set up/to stand	[Add example]
及	ji2	to reach/and	[Add example]
比	bi3/bi4	(particle used for comparison and "-er than")/to compare/to contrast/to gesture (with hands)/ratio, associate with/be near	[Add example]
员	yuan2	person/employee/member	[Add example]
解	jie3/jie4/xie4	to separate/to divide/to break up/to loosen/to explain/to untie/to emancipate, transport under guard, (surname)	[Add example]
水	shui3	water/river	[Add example]
名	ming2	name/(measure word for persons)/place (e.g. among winners)	[Add example]
真	zhen1	real/true/genuine	[Add example]
论	lun2/lun4	the Analects (of Confucius), by the/per/discuss/theory/to talk (about)/to discuss	[Add example]
处	chu3/chu4	to reside/to live/to dwell/to be in/to stay/get along with/to be in a position of/deal with, a place/location/spot/point/office/department/bureau/respect	[Add example]
走	zou3	to walk/to go/to move	[Add example]
义	yi4	justice/righteousness/meaning	[Add example]
各	ge4	each/every	[Add example]
入	ru4	to enter	[Add example]
几	ji1/ji3	small table, almost, a few/how many, how much/how many/several/a few	[Add example]
口	kou3	mouth/(a measure word)	[Add example]
认	ren4	to recognize/to know/to admit	[Add example]
条	tiao2	measure word for long, thin things (i.e. ribbon, river, etc.)/a strip/item/article	[Add example]
平	ping2	flat/level/equal/to make the same score/to tie/to draw/calm/peaceful	[Add example]
系	xi4	be/connection/relation/tie up/bind, be/system/to tie/department/faculty, connect/to tie	[Add example]
气	qi4	air/anger/gas, gas/air/smell/weather/vital breath/to make sb. angry/to get angry/to be enraged	[Add example]
题	ti2	topic/subject/to inscribe/to superscribe	[Add example]
活	huo2	to live/alive/living/work/workmanship	[Add example]
尔	er3	thus/so/like that/you/thou	[Add example]
更	geng1/geng4	to change, more/even more/further/still/still more	[Add example]
别	bie2/bie4	leave/depart/separate/distinguish/classify/other/another/do not/must not/to pin, contrary/difficult/awkward	[Add example]
打	da2/da3	dozen, beat/strike/break/mix up/build/fight/fetch/make/tie up/issue/shoot/calculate/since/from	[Add example]
女	nu:3/nv3	female/woman	[Add example]
变	bian4	to change/to become different/to transform/to vary/rebellion	[Add example]
四	si4	four/4	[Add example]
神	shen2	God/unusual/mysterious/soul/spirit/divine essence/lively/spiritual being	[Add example]
总	zong3	always/to assemble/gather/total/overall/head/chief/general/in every case	[Add example]
何	he2	carry/what/how/why/which	[Add example]
电	dian4	electric/electricity/electrical	[Add example]
数	shu3/shu4/shuo4	to count, number/figure/to count/to calculate/several, frequently/repeatedly	[Add example]
安	an1	content/calm/still/quiet/to pacify/peace	[Add example]
少	shao3/shao4	few/little/lack, young	[Add example]
报	bao4	to announce/to inform/report/newspaper/recompense/revenge	[Add example]
才	cai2	ability/talent/endowment/gift/an expert/only (then)/only if/just, just/not until	[Add example]
结	jie1/jie2	knot/sturdy/to bear (fruit)/bond/to tie/to bind	[Add example]
反	fan3	wrong side out or up/anti-	[Add example]
受	shou4	to bear/to stand/to endure/(passive marker)/to receive	[Add example]
目	mu4	eye/item/section/list/catalogue/table of contents/order (taxonomy)/goal/name/title	[Add example]
太	tai4	highest/greatest/too (much)/very/extremely	[Add example]
量	liang2/liang4	to measure, capacity/quantity/amount/to estimate	[Add example]
再	zai4	again/once more/re-/second/another	[Add example]
感	gan3	to feel/to move/to touch/to affect	[Add example]
建	jian4	to establish/to found/to set up/to build/to construct	[Add example]
务	wu4	affair/business/matter	[Add example]
做	zuo4	to do/to make/to produce	[Add example]
接	jie1	to extend/to connect/to receive/to join	[Add example]
必	bi4	certainly/must/will/necessarily	[Add example]
场	chang3	a courtyard/open space/place/field/a measure word/(a measure word, used for sport or recreation)	[Add example]
件	jian4	a measure word for thing, clothes, item	[Add example]
计	ji4	to calculate/to compute/to count/reckon/ruse/to plan	[Add example]
管	guan3	to take care (of)/to control/to manage/to be in charge of/to look after/to run/tube/pipe	[Add example]
期	qi1	a period of time/phase/stage/(used for issue of a periodical, courses of study)/time/term/period/to hope	[Add example]
市	shi4	market/city	[Add example]
直	zhi2	straight/vertical/frank/directly/straightly/upright	[Add example]
德	de2	Germany/virtue/goodness/morality/ethics/kindness/favor/character/kind	[Add example]
资	zi1	resources/capital/to provide/to supply/to support/money/expense	[Add example]
命	ming4	life/fate	[Add example]
山	shan1	mountain/hill	[Add example]
金	jin1	metal/money/gold	[Add example]
指	zhi3	finger/to point/to direct/to indicate	[Add example]
克	ke4	gram/subdue/to restrain/to overcome, subdue	[Add example]
许	xu3	to allow/to permit/to praise/(surname)	[Add example]
统	tong3	to gather/to unite/to unify/whole	[Add example]
区	ou1/qu1	Ou (surname), area/region/district/small/distinguish	[Add example]
保	bao3	to defend/to protect/to insure or guarantee/to maintain/hold or keep/to guard	[Add example]
至	zhi4	arrive/most/to/until	[Add example]
队	dui4	squadron/team/group	[Add example]
形	xing2	to appear/to look/form/shape	[Add example]
社	she4	society/group	[Add example]
便	bian4/pian2	ordinary/plain/convenient/handy/easy/then/so/thus/to relieve oneself, advantageous/cheap	[Add example]
空	kong1/kong4	air/sky/empty/in vain, emptied/leisure	[Add example]
决	jue2	breach (a dyke)/to decide/to determine	[Add example]
治	zhi4	to rule/to govern/to manage/to control/to harness (a river)/cure/treatment/to heal	[Add example]
展	zhan3	to use/to spread out/to postpone/to unfold	[Add example]
马	ma3	horse/horse chess piece/Surname	[Add example]
科	ke1	branch of study/administrative section/division/field/branch/stage directions/family (taxonomy)/rules/laws/to mete out (punishment)/to levy (taxes, etc.)/to fine somebody	[Add example]
司	si1	company/control	[Add example]
五	wu3	five/5	[Add example]
基	ji1	base/foundation/basic/radical (chem.)	[Add example]
眼	yan3	eye	[Add example]
书	shu1	book/letter	[Add example]
非	fei1	non-/not-/un-	[Add example]
则	ze2	(expresses contrast with a previous sentence or clause)/standard/norm/rule/to imitate/to follow/then/principle	[Add example]
听	ting1/ting4	listen/hear/obey, let/allow	[Add example]
白	bai2	white/snowy/empty/blank/bright/clear/plain/pure/gratuitous	[Add example]
却	que4	but/yet/however/while/to go back/to decline/to retreat/nevertheless	[Add example]
界	jie4	boundary/scope/extent/circles/group/kingdom (taxonomy)	[Add example]
达	da2	attain/pass through/achieve/reach/realize/clear/inform/notify/dignity	[Add example]
光	guang1	light/ray/bright	[Add example]
放	fang4	to release/to free/to let go/to put/to place/to let out	[Add example]
强	qiang2	strength/force/power/powerful/better	[Add example]
即	ji2	namely/right away/to approach/to draw near	[Add example]
像	xiang4	(look) like/similar (to)/appearance/to appear/to seem/image/portrait/resemble/seem	[Add example]
难	nan2/nan4	difficult (to...)/problem/difficulty/difficult/not good, disaster/distress/to scold	[Add example]
且	qie3	further/moreover	[Add example]
权	quan2	authority/power/right	[Add example]
思	si1	to think/to consider	[Add example]
王	wang2	king/Wang (proper name)	[Add example]
象	xiang4	shape/form/appearance/elephant/image under a map (math.)	[Add example]
完	wan2	to finish/to be over/whole/complete/entire	[Add example]
设	she4	to set up/to arrange/to establish/to found/to display	[Add example]
式	shi4	type/form/pattern/style	[Add example]
色	se4/shai3	color/look/appearance, color/dice	[Add example]
路	lu4	(surname)/road/path/way	[Add example]
记	ji4	to remember/to note/mark/sign/to record	[Add example]
南	nan2	south	[Add example]
品	pin3	conduct/grade/thing/product/good	[Add example]
住	zhu4	to live/to dwell/to reside/to stop	[Add example]
告	gao4	to tell/to inform/to say	[Add example]
类	lei4	kind/type/class/category/similar/like/to resemble	[Add example]
求	qiu2	to seek/to look for/to request/to demand/to beseech	[Add example]
据	ju1/ju4	sickness of hand, act in accordance with/seize, according to/to act in accordance with/to depend on/to seize/to occupy	[Add example]
程	cheng2	rule/order/regulations/formula/journey/procedure/sequence/a surname	[Add example]
北	bei3	north	[Add example]
